model_id,actual_label_id,predicted_label_id,count_val
1,1,1,453831
1,1,2,0
1,1,3,1
1,1,4,0
1,1,5,10
1,1,6,0
1,1,7,0
1,1,8,0
1,1,9,0
1,1,10,1
1,1,11,1
1,1,12,1
1,1,13,4
1,1,14,2
1,1,15,0
1,2,1,2
1,2,2,391
1,2,3,0
1,2,4,0
1,2,5,0
1,2,6,0
1,2,7,0
1,2,8,0
1,2,9,0
1,2,10,0
1,2,11,0
1,2,12,0
1,2,13,0
1,2,14,0
1,2,15,0
1,3,1,1
1,3,2,0
1,3,3,25601
1,3,4,0
1,3,5,0
1,3,6,0
1,3,7,0
1,3,8,0
1,3,9,0
1,3,10,0
1,3,11,0
1,3,12,0
1,3,13,0
1,3,14,0
1,3,15,0
1,4,1,1
1,4,2,0
1,4,3,0
1,4,4,2054
1,4,5,3
1,4,6,0
1,4,7,0
1,4,8,0
1,4,9,0
1,4,10,0
1,4,11,0
1,4,12,0
1,4,13,0
1,4,14,0
1,4,15,0
1,5,1,4
1,5,2,0
1,5,3,0
1,5,4,0
1,5,5,46179
1,5,6,0
1,5,7,0
1,5,8,0
1,5,9,0
1,5,10,0
1,5,11,0
1,5,12,0
1,5,13,0
1,5,14,0
1,5,15,0
1,6,1,1
1,6,2,0
1,6,3,0
1,6,4,1
1,6,5,1
1,6,6,1093
1,6,7,1
1,6,8,0
1,6,9,0
1,6,10,0
1,6,11,0
1,6,12,0
1,6,13,0
1,6,14,1
1,6,15,2
1,7,1,3
1,7,2,0
1,7,3,0
1,7,4,0
1,7,5,2
1,7,6,0
1,7,7,1151
1,7,8,0
1,7,9,0
1,7,10,0
1,7,11,0
1,7,12,0
1,7,13,1
1,7,14,0
1,7,15,2
1,8,1,0
1,8,2,0
1,8,3,0
1,8,4,0
1,8,5,0
1,8,6,0
1,8,7,0
1,8,8,1587
1,8,9,0
1,8,10,0
1,8,11,0
1,8,12,0
1,8,13,0
1,8,14,0
1,8,15,0
1,9,1,0
1,9,2,0
1,9,3,0
1,9,4,0
1,9,5,0
1,9,6,0
1,9,7,0
1,9,8,0
1,9,9,1
1,9,10,0
1,9,11,0
1,9,12,0
1,9,13,0
1,9,14,0
1,9,15,0
1,10,1,1
1,10,2,0
1,10,3,0
1,10,4,0
1,10,5,0
1,10,6,0
1,10,7,0
1,10,8,0
1,10,9,0
1,10,10,6
1,10,11,0
1,10,12,0
1,10,13,0
1,10,14,0
1,10,15,0
1,11,1,3
1,11,2,0
1,11,3,0
1,11,4,0
1,11,5,0
1,11,6,0
1,11,7,0
1,11,8,0
1,11,9,0
1,11,10,0
1,11,11,31783
1,11,12,0
1,11,13,0
1,11,14,0
1,11,15,0
1,12,1,1
1,12,2,0
1,12,3,0
1,12,4,0
1,12,5,0
1,12,6,0
1,12,7,0
1,12,8,0
1,12,9,0
1,12,10,0
1,12,11,0
1,12,12,1178
1,12,13,0
1,12,14,0
1,12,15,0
1,13,1,0
1,13,2,0
1,13,3,0
1,13,4,0
1,13,5,0
1,13,6,0
1,13,7,0
1,13,8,0
1,13,9,0
1,13,10,0
1,13,11,0
1,13,12,0
1,13,13,300
1,13,14,0
1,13,15,1
1,14,1,0
1,14,2,0
