,precision,recall,f1-score,support
BENIGN,0.8645073561822703,0.4580688375700395,0.5988371506879303,453851.0
Bot,7.82258379942895e-06,0.002544529262086514,1.5597217456405777e-05,393.0
DDoS,0.0,0.0,0.0,25602.0
DoS GoldenEye,0.0,0.0,0.0,2058.0
DoS Hulk,0.009027033083115928,0.012212285906069332,0.010380813899983434,46183.0
DoS Slowhttptest,0.0,0.0,0.0,1100.0
DoS slowloris,0.0,0.0,0.0,1159.0
FTP-Patator,0.9812967581047382,0.4959042218021424,0.6588530766010883,1587.0
Heartbleed,0.0,0.0,0.0,1.0
Infiltration,0.0,0.0,0.0,7.0
PortScan,0.009419508596720196,0.010444849933933178,0.009905716672633966,31786.0
SSH-Patator,0.3742177722152691,0.5072094995759118,0.4306805905653583,1179.0
Web Attack - Brute Force,0.0006783666681255198,0.2059800664451827,0.0013522797910509613,301.0
Web Attack - SQL Injection,0.0,0.0,0.0,4.0
Web Attack - XSS,0.0,0.0,0.0,130.0
accuracy,0.3718799804012092,0.3718799804012092,0.3718799804012092,0.3718799804012092
macro avg,0.14927697449560257,0.11282428603302436,0.11400168169570012,565341.0
weighted avg,0.6988217023902549,0.3718799804012092,0.484894789746601,565341.0
